Feature Set,Num Features,WAPE,MAE,MSE,RMSE,MAPE(%),sMAPE(%)
Calendar Cyclical Only,9,0.31721734325502576,3.388085437916911,21.628482235623657,4.650643206656866,40.034113192375976,35.20224421143461
Operational Forecasts Only,24,0.1597655060565209,1.7063984553844171,9.584763178178674,3.0959268689971786,19.46438908197359,17.698788004094535
Full Rolling & Physics Features,65,0.14779865597976252,1.5785847927808434,8.869470406348617,2.978165610967365,19.504750900520328,16.37912708145305
