Loss Function,WAPE,MAE,MSE,RMSE,MAPE(%),sMAPE(%)
L1 Loss (MAE),0.14404045592636497,1.5384447970547683,8.87052476928927,2.9783426212055035,18.887965752627352,16.01842030934565
Huber Loss (Smooth L1),0.14605278796487633,1.5599377986888165,8.947956872925792,2.9913135698093893,19.213124200544353,16.22471953570727
MSE Loss (L2),0.1741531949625196,1.8600682353957496,10.61250474619043,3.257683954313314,23.179639722109886,19.192886018301373
